US Census 2019 Estimated Population Density in Persons Per Square Mile,,
Data Source: U.S. Bureau of the Census( http://census.gov ),,
Tue Apr 07 19:48:22 2020,,
State,Area,Density_persons_per_square_mile
Colorado,Mesa,46.02
Colorado,Mineral,0.89
Colorado,Moffat,2.78
Colorado,Montezuma,12.89
Colorado,Montrose,18.84
Colorado,Morgan,22.30
Colorado,Otero,14.61
Colorado,Ouray,8.92
Colorado,Park,8.46
Colorado,Phillips,6.23
Colorado,Pitkin,18.49
Colorado,Prowers,7.42
Colorado,Pueblo,70.21
Colorado,Rio Blanco,1.97
Colorado,Rio Grande,12.34
Colorado,Routt,10.89
Colorado,Saguache,2.16
Colorado,San Juan,1.97
Colorado,San Miguel,6.37
Colorado,Sedgwick,4.20
Colorado,Summit,50.97
Colorado,Teller,45.03
Colorado,Washington,1.95
Colorado,Weld,78.87
Colorado,Yuma,4.24
Connecticut,Fairfield,1510.19
Connecticut,Hartford,1214.62
Connecticut,Litchfield,196.75
Connecticut,Middlesex,440.51
Connecticut,New Haven,1418.70
Connecticut,New London,401.09
Connecticut,Tolland,367.79
Connecticut,Windham,228.15
Delaware,Kent,304.66
Delaware,New Castle,1312.01
Delaware,Sussex,244.93
District of Columbia,District of Columbia,11489.29
Florida,Alachua,308.33
Florida,Baker,48.45
Florida,Bay,244.25
Florida,Bradford,94.34
Florida,Brevard,588.04
Florida,Broward,1622.24
Florida,Calhoun,25.71
Florida,Charlotte,271.61
Florida,Citrus,254.21
Florida,Clay,357.37
Florida,Collier,189.53
Florida,Columbia,88.40
Florida,Dade,0.00
Florida,DeSoto,58.88
Florida,Dixie,23.68
Florida,Duval,1245.93
Florida,Escambia,480.29
Florida,Flagler,230.99
Florida,Franklin,21.53
Florida,Gadsden,88.89
Florida,Gilchrist,52.20
Florida,Glades,17.02
Florida,Gulf,29.21
Florida,Hamilton,27.85
Florida,Hardee,42.73
Florida,Hendry,35.94
Florida,Hernando,403.55
Florida,Highlands,103.60
Florida,Hillsborough,1406.07
Florida,Holmes,40.67
Florida,Indian River,313.09
Florida,Jackson,52.61
Florida,Jefferson,23.89
Florida,Lafayette,16.07
Florida,Lake,374.96
Florida,Lee,965.64
Florida,Leon,438.61
Florida,Levy,36.46
Florida,Liberty,10.12
Florida,Madison,26.60
Florida,Manatee,530.98
Florida,Marion,226.63
Florida,Martin,295.89
Florida,Miami-Dade,1453.59
Florida,Monroe,76.32
Florida,Nassau,132.32
Florida,Okaloosa,222.81
Florida,Okeechobee,54.00
Florida,Orange,1530.87
Florida,Osceola,277.19
Florida,Palm Beach,756.48
Florida,Pasco,722.80
Florida,Pinellas,3562.28
Florida,Polk,393.88
Florida,Putnam,101.89
Florida,Santa Rosa,177.16
Florida,Sarasota,767.49
Florida,Seminole,1512.40
Florida,St. Johns,423.37
Florida,St. Lucie,561.76
Florida,Sumter,231.10
Florida,Taylor,20.73
Florida,Union,61.34
Florida,Volusia,497.20
Florida,Wakulla,53.53
Florida,Walton,68.78
Florida,Washington,42.55
Georgia,Appling,36.41
Georgia,Atkinson,24.21
Georgia,Bacon,39.37
Georgia,Baker,9.04
Georgia,Baldwin,173.26
Georgia,Banks,81.82
Georgia,Barrow,501.79
Georgia,Bartow,231.87
Georgia,Ben Hill,67.12
Georgia,Berrien,42.46
Georgia,Bibb,613.85
Georgia,Bleckley,59.47
Georgia,Brantley,42.63
Georgia,Brooks,31.46
Georgia,Bryan,87.10
Georgia,Bulloch,114.35
Georgia,Burke,27.11
Georgia,Butts,131.71
Georgia,Calhoun,22.65
Georgia,Camden,85.16
Georgia,Candler,44.58
Georgia,Carroll,236.70
Georgia,Catoosa,415.76
Georgia,Charlton,16.62
Georgia,Chatham,667.70
Georgia,Chattahoochee,42.95
Georgia,Chattooga,79.12
Georgia,Cherokee,603.56
Georgia,Clarke,1068.03
Georgia,Clay,14.77
Georgia,Clayton,2044.15
Georgia,Clinch,8.16
Georgia,Cobb,2227.45
Georgia,Coffee,72.76
Georgia,Colquitt,83.34
Georgia,Columbia,531.89
Georgia,Cook,75.13
Georgia,Coweta,330.81
Georgia,Crawford,37.91
Georgia,Crisp,82.88
Georgia,Dade,93.26
Georgia,Dawson,118.97
Georgia,Decatur,44.50
Georgia,DeKalb,2825.82
Georgia,Dodge,41.75
Georgia,Dooly,34.91
Georgia,Dougherty,277.64
Georgia,Douglas,726.15
Georgia,Early,19.99
Georgia,Echols,9.51
Georgia,Effingham,129.88
Georgia,Elbert,54.46
Georgia,Emanuel,33.23
Georgia,Evans,58.62
Georgia,Fannin,67.07
Georgia,Fayette,583.70
Georgia,Floyd,192.08
Georgia,Forsyth,1053.72
Georgia,Franklin,88.02
Georgia,Fulton,1993.69
Georgia,Gilmer,72.30
Georgia,Glascock,20.83
Georgia,Glynn,203.12
Georgia,Gordon,161.84
Georgia,Greene,45.65
Georgia,Gwinnett,2154.52
Georgia,Habersham,163.96
Georgia,Hall,514.37
Georgia,Hancock,17.72
Georgia,Haralson,104.66
Georgia,Harris,74.33
Georgia,Hart,112.29
Georgia,Heard,40.14
Georgia,Henry,722.49
Georgia,Houston,413.44
Georgia,Irwin,26.52
Georgia,Jackson,207.32
Georgia,Jasper,38.11
Georgia,Jeff Davis,45.42
Georgia,Jefferson,29.30
Georgia,Jenkins,25.00
Georgia,Johnson,32.04
Georgia,Jones,72.64
Georgia,Lamar,103.54
Georgia,Lanier,52.61
Georgia,Laurens,58.62
Georgia,Lee,83.63
Georgia,Liberty,119.07
Georgia,Lincoln,37.62
Georgia,Long,47.45
Georgia,Lowndes,233.97
Georgia,Lumpkin,116.47
Georgia,Macon,32.80
Georgia,Madison,105.02
Georgia,Marion,22.82
Georgia,McDuffie,83.63
Georgia,McIntosh,33.24
Georgia,Meriwether,42.03
Georgia,Miller,20.13
Georgia,Mitchell,43.33
Georgia,Monroe,69.48
Georgia,Montgomery,38.12
Georgia,Morgan,54.27
Georgia,Murray,115.88
Georgia,Muscogee,896.90
Georgia,Newton,400.08
Georgia,Oconee,213.04
Georgia,Oglethorpe,34.29
Georgia,Paulding,525.23
Georgia,Peach,181.64
Georgia,Pickens,137.81
Georgia,Pierce,56.95
Georgia,Pike,86.23
Georgia,Polk,136.85
Georgia,Pulaski,44.41
Georgia,Putnam,63.27
Georgia,Quitman,15.07
Georgia,Rabun,45.57
Georgia,Randolph,15.96
